Altitude (m),Thrust (N),Drag (N),Gravity (N)
634.5260847229437,[83124.88677306 24973.09888349],[-3116.78948942  -936.37290997],[     0. -24525.]
643.4941699105281,[83156.41867031 24712.24985926],[-3177.77078973  -944.36324949],[     0. -24525.]
652.4592266445516,[83186.53275975 24453.61577414],[-3239.24885339  -952.2135883 ],[     0. -24525.]
661.4201889873184,[83215.266073   24197.16416485],[-3301.22035051  -959.92207362],[     0. -24525.]
670.3760002984502,[83242.65467394 23942.86327389],[-3363.6819692  -967.4868948],[     0. -24525.]
679.3256131150983,[83268.73369266 23690.68202756],[-3426.6304167   -974.90628268],[     0. -24525.]
688.267989034726,[83293.53735779 23440.59001496],[-3490.06242039  -982.1785089 ],[     0. -24525.]
697.202098600378,[83317.09902755 23192.55746773],[-3553.97472883  -989.3018852 ],[     0. -24525.]
706.12692118836,[83339.45121938 22946.55524059],[-3618.3641127   -996.27476277],[     0. -24525.]
715.0414448982534,[83360.62563832 22702.55479268],[-3683.22736585 -1003.09553157],[     0. -24525.]
723.9446664451912,[83380.65320418 22460.52816951],[-3748.56130611 -1009.76261969],[     0. -24525.]
732.8355910543282,[83399.56407761 22220.44798573],[-3814.36277629 -1016.27449264],[     0. -24525.]
741.7132323574376,[83417.38768505 21982.2874084 ],[-3880.628645   -1022.62965273],[     0. -24525.]
750.5766122915697,[83434.15274263 21746.020141  ],[-3947.35580752 -1028.8266384 ],[     0. -24525.]
759.4247609997122,[83449.88727911 21511.62040798],[-4014.54118659 -1034.86402359],[     0. -24525.]
768.2567167333923,[83464.61865792 21279.06293984],[-4082.18173324 -1040.74041708],[     0. -24525.]
777.0715257571634,[83478.37359828 21048.32295884],[-4150.27442754 -1046.45446184],[     0. -24525.]
785.8682422549225,[83491.17819546 20819.37616518],[-4218.81627935 -1052.0048344 ],[     0. -24525.]
794.6459282380047,[83503.05794027 20592.19872361],[-4287.80432902 -1057.39024425],[     0. -24525.]
803.4036534550042,[83514.0377378  20366.76725066],[-4357.23564813 -1062.60943316],[     0. -24525.]
812.1404953032738,[83524.14192534 20143.05880217],[-4427.1073401 -1067.6611746],[     0. -24525.]
820.8555387420538,[83533.39428974 19921.05086139],[-4497.4165409  -1072.54427308],[     0. -24525.]
829.547876207187,[83541.81808399 19700.72132737],[-4568.16041965 -1077.25756358],[     0. -24525.]
838.2166075273753,[83549.43604326 19482.04850384],[-4639.33617922 -1081.79991092],[     0. -24525.]
846.8608398419353,[83556.27040023 19265.01108842],[-4710.94105683 -1086.17020915],[     0. -24525.]
855.4796875200124,[83562.34289997 19049.58816223],[-4782.97232461 -1090.36738096],[     0. -24525.]
864.0722720812145,[83567.67481416 18835.75917985],[-4855.42729012 -1094.39037708],[     0. -24525.]
872.6377221176276,[83572.28695486 18623.50395956],[-4928.30329692 -1098.2381757 ],[     0. -24525.]
881.1751732171763,[83576.19968773 18412.80267398],[-5001.59772504 -1101.90978185],[     0. -24525.]
889.6837678882935,[83579.43294481 18203.63584098],[-5075.30799146 -1105.40422688],[     0. -24525.]
898.162655485867,[83582.0062368  17995.98431488],[-5149.4315506  -1108.72056783],[     0. -24525.]
906.6109921384289,[83583.93866495 17789.82927794],[-5223.96589475 -1111.85788688],[     0. -24525.]
915.0279406765549,[83585.24893247 17585.15223219],[-5298.90855451 -1114.8152908 ],[     0. -24525.]
923.4126705624465,[83585.95535559 17381.9349914 ],[-5374.2570992  -1117.59191036],[     0. -24525.]
931.7643578206622,[83586.0758742  17180.15967339],[-5450.00913725 -1120.18689979],[     0. -24525.]
940.0821849699723,[83585.62806216 16979.8086926 ],[-5526.16231658 -1122.59943623],[     0. -24525.]
948.3653409563078,[83584.62913721 16780.86475281],[-5602.71432497 -1124.82871919],[     0. -24525.]
956.6130210867778,[83583.09597059 16583.31084016],[-5679.66289041 -1126.87396997],[     0. -24525.]
964.8244269647287,[83581.04509626 16387.13021639],[-5757.0057814  -1128.73443121],[     0. -24525.]
972.9987664258202,[83578.49271993 16192.3064122 ],[-5834.74080731 -1130.40936625],[     0. -24525.]
981.1352534750956,[83575.45472766 15998.82322091],[-5912.86581865 -1131.8980587 ],[     0. -24525.]
989.2331082250198,[83571.94669426 15806.66469229],[-5991.37870737 -1133.19981188],[     0. -24525.]
997.2915568344656,[83567.98389139 15615.81512651],[-6070.27740714 -1134.31394827],[     0. -24525.]
1005.3098314486244,[83563.58129538 15426.2590684 ],[-6149.55989358 -1135.23980907],[     0. -24525.]
1013.2871701398205,[83558.75359484 15237.98130174],[-6229.22418454 -1135.97675366],[     0. -24525.]
1021.222816849209,[83553.51519795 15050.96684379],[-6309.2683403  -1136.52415908],[     0. -24525.]
1029.1160213293363,[83547.8802396  14865.20094003],[-6389.69046383 -1136.88141958],[     0. -24525.]
1036.9660390875454,[83541.86258827 14680.66905894],[-6470.48870096 -1137.04794609],[     0. -24525.]
1044.7721313302059,[83535.47585268 14497.356887  ],[-6551.66124059 -1137.02316576],[     0. -24525.]
1052.5335649077513,[83528.73338822 14315.25032386],[-6633.20631488 -1136.80652149],[     0. -24525.]
1060.2496122605062,[83521.64830326 14134.33547756],[-6715.12219941 -1136.3974714 ],[     0. -24525.]
1067.9195513652858,[83514.23346517 13954.59865998],[-6797.40721335 -1135.79548845],[     0. -24525.]
1075.5426656827515,[83506.5015062  13776.02638236],[-6880.05971961 -1135.00005988],[     0. -24525.]
1083.118244105507,[83498.46482918 13598.60535097],[-6963.07812497 -1134.01068682],[     0. -24525.]
1090.6455809069193,[83490.13561308 13422.32246289],[-7046.46088024 -1132.82688382],[     0. -24525.]
1098.123975690648,[83481.5258183  13247.16480189],[-7130.20648032 -1131.44817839],[     0. -24525.]
1105.5527333408704,[83472.64719195 13073.1196345 ],[-7214.31346437 -1129.87411054],[     0. -24525.]
1112.9311639731889,[83463.51127284 12900.17440608],[-7298.78041589 -1128.10423239],[     0. -24525.]
1120.258582886202,[83454.12939642 12728.31673708],[-7383.6059628  -1126.13810768],[     0. -24525.]
1127.5343105137329,[83444.51269949 12557.53441935],[-7468.78877752 -1123.97531138],[     0. -24525.]
1134.7576723776956,[83434.67212487 12387.81541258],[-7554.32757707 -1121.61542926],[     0. -24525.]
1141.9279990415914,[83424.61842587 12219.14784084],[-7640.22112312 -1119.05805746],[     0. -24525.]
1149.0446260646208,[83414.36217063 12051.51998919],[-7726.46822205 -1116.30280207],[     0. -24525.]
1156.1068939563988,[83403.91374638 11884.92030035],[-7813.06772498 -1113.34927873],[     0. -24525.]
1163.1141481322632,[83393.28336353 11719.33737157],[-7900.01852785 -1110.19711223],[     0. -24525.]
1170.065738869165,[83382.48105973 11554.75995144],[-7987.31957141 -1106.8459361 ],[     0. -24525.]
1176.961021262128,[83371.51670367 11391.17693687],[-8074.9698413  -1103.29539223],[     0. -24525.]
1183.7993551812697,[83360.39999895 11228.57737014],[-8162.96836802 -1099.54513044],[     0. -24525.]
1190.5801052293702,[83349.1404877  11066.95043601],[-8251.31422697 -1095.59480815],[     0. -24525.]
1197.3026406999822,[83337.7475542  10906.28545888],[-8340.00653846 -1091.44408995],[     0. -24525.]
1203.96633553607,[83326.23042833 10746.5719001 ],[-8429.0444677  -1087.09264724],[     0. -24525.]
1210.570568289169,[83314.59818898 10587.79935524],[-8518.4272248  -1082.54015789],[     0. -24525.]
1217.1147220790574,[83302.85976733 10429.95755152],[-8608.15406475 -1077.78630581],[     0. -24525.]
1223.5981845539288,[83291.0239501  10273.03634525],[-8698.22428744 -1072.83078063],[     0. -24525.]
1230.0203478510587,[83279.09938263 10117.02571937],[-8788.63723758 -1067.67327733],[     0. -24525.]
1236.3806085579565,[83267.09457194  9961.91578103],[-8879.39230472 -1062.31349588],[     0. -24525.]
1242.6783676739951,[83255.01788973  9807.6967592 ],[-8970.48892319 -1056.7511409 ],[     0. -24525.]
1248.9130305725068,[83242.87757521  9654.35900243],[-9061.9265721  -1050.98592131],[     0. -24525.]
1255.0840069633432,[83230.68173796  9501.89297654],[-9153.70477525 -1045.01754998],[     0. -24525.]
1261.1907108558858,[83218.43836065  9350.28926246],[-9245.82310112 -1038.84574342],[     0. -24525.]
1267.2325605225044,[83206.15530173  9199.53855411],[-9338.28116281 -1032.4702214 ],[     0. -24525.]
1273.2089784624538,[83193.84029804  9049.63165627],[-9431.07861798 -1025.89070667],[     0. -24525.]
1279.1193913662016,[83181.50096731  8900.55948258],[-9524.21516879 -1019.1069246 ],[     0. -24525.]
1284.9632300801813,[83169.1448107  8752.3130535],[-9617.69056187 -1012.11860289],[     0. -24525.]
1290.7399295719636,[83156.77921516  8604.88349443],[-9711.50458819 -1004.92547121],[     0. -24525.]
1296.4489288958387,[83144.41145583  8458.26203376],[-9805.65708307  -997.52726094],[     0. -24525.]
1302.089671158805,[83132.04869832  8312.44000103],[-9900.14792605  -989.92370482],[     0. -24525.]
1307.6616034869562,[83119.69800094  8167.40882514],[-9994.97704083  -982.11453667],[     0. -24525.]
1313.1641769922612,[83107.36631693  8023.16003251],[-10090.14439519   -974.09949107],[     0. -24525.]
1318.5968467397322,[83095.06049657  7879.68524545],[-10185.65000094   -965.87830309],[     0. -24525.]
1323.9590717149724,[83082.78728926  7736.97618037],[-10281.49391379   -957.45070796],[     0. -24525.]
1329.2503147921022,[83070.55334559  7595.02464618],[-10377.67623328   -948.81644081],[     0. -24525.]
1334.4700427020537,[83058.36521927  7453.82254268],[-10474.1971027    -939.97523638],[     0. -24525.]
1339.6177260012303,[83046.22936917  7313.36185894],[-10571.05670902   -930.92682873],[     0. -24525.]
1344.6928390405276,[83034.1521611   7173.63467175],[-10668.25528272   -921.67095095],[     0. -24525.]
1349.6948599347083,[83022.13986977  7034.63314418],[-10765.7930978    -912.20733491],[     0. -24525.]
1354.623270532126,[83010.19868053  6896.34952399],[-10863.67047159   -902.53571099],[     0. -24525.]
1359.477556384796,[82998.33469118  6758.77614229],[-10961.88776472   -892.65580779],[     0. -24525.]
1364.2572067188037,[82986.55391368  6621.90541204],[-11060.44538097   -882.56735186],[     0. -24525.]
1368.9617144050521,[82974.86227585  6485.7298267 ],[-11159.34376719   -872.27006749],[     0. -24525.]
1373.5905759303375,[82963.26562301  6350.24195889],[-11258.58341321   -861.76367638],[     0. -24525.]
1378.143291368753,[82951.76971963  6215.434459  ],[-11358.16485171   -851.04789746],[     0. -24525.]
1382.6193643534143,[82940.38025086  6081.30005398],[-11458.08865813   -840.12244656],[     0. -24525.]
1387.0183020485056,[82929.10282413  5947.83154597],[-11558.35545055   -828.98703624],[     0. -24525.]
1391.3396151216357,[82917.94297061  5815.02181113],[-11658.9658896    -817.64137549],[     0. -24525.]
1395.5828177165083,[82906.90614675  5682.86379838],[-11759.92067835   -806.08516951],[     0. -24525.]
1399.7474274258964,[82895.99773565  5551.3505282 ],[-11861.22056217   -794.31811947],[     0. -24525.]
1403.8329652649195,[82885.22304854  5420.47509149],[-11962.86632866   -782.33992227],[     0. -24525.]
1407.8389556446193,[82874.58732616  5290.2306484 ],[-12064.85880752   -770.15027032],[     0. -24525.]
