Time (s),Altitude (m),Thrust (N),Drag (N),Gravity (N)
59,35952.23954234582,[ 7587.20761068 13141.42906927],[-473.6744716  -500.92133757],[     0. -14715.]
60,36783.3170224722,[ 7312.07318571 12664.88226632],[-432.99456616 -454.40315579],[     0. -14715.]
61,37612.7248220056,[ 7047.43889995 12206.52223795],[-395.69003319 -412.03379955],[     0. -14715.]
62,38440.185613831265,[ 6792.96989906 11765.76899945],[-361.51063112 -373.47962968],[     0. -14715.]
63,39265.43126523677,[ 6548.33392386 11342.04706105],[-330.21942585 -338.42746626],[     0. -14715.]
64,40088.202663038806,[ 6313.2022557  10934.78706533],[-301.59298759 -306.58443901],[     0. -14715.]
65,40908.249529258384,[ 6087.25054572 10543.42722359],[-275.42138851 -277.67760557],[     0. -14715.]
66,41725.330228556646,[ 5870.15953625 10167.41456532],[-251.50803771 -251.45338712],[     0. -14715.]
67,42539.21156864037,[5661.61568222 9806.20601454],[-229.66938613 -227.6768643 ],[     0. -14715.]
68,43349.66859482425,[5461.3116805  9459.26930659],[-209.73452953 -206.1309703 ],[     0. -14715.]
69,44156.484379899,[5268.94691438 9126.08375809],[-191.54473397 -186.61561212],[     0. -14715.]
70,44959.449810404396,[5084.22782066 8806.14090264],[-174.95290496 -168.94674659],[     0. -14715.]
71,45758.36337034716,[4906.86818594 8498.9450041 ],[-159.82301777 -152.95543271],[     0. -14715.]
72,46553.03092333751,[4736.58937884 8204.01345873],[-146.02952403 -138.48687812],[     0. -14715.]
73,47343.265494048275,[4573.12052406 7920.87709681],[-133.45674684 -125.39949417],[     0. -14715.]
74,48128.88704982747,[4416.19862441 7649.0803938 ],[-121.9982746  -113.56397083],[     0. -14715.]
75,48909.72228322198,[4265.56863586 7388.18160048],[-111.55636163 -102.86238019],[     0. -14715.]
76,49685.60439609668,[4120.98350099 7137.75280086],[-102.04134202  -93.18731504],[     0. -14715.]
77,50456.37288596192,[3982.20414539 6897.37990593],[-93.37106175 -84.44106734],[     0. -14715.]
78,51221.8733350529,[3848.99944149 6666.66259096],[-85.47033269 -76.53484949],[     0. -14715.]
79,51981.957202638194,[3721.14614368 6445.21418324],[-78.27041124 -69.38806043],[     0. -14715.]
80,52736.48162097202,[3598.42879867 6232.66150671],[-71.7085033  -62.92759727],[     0. -14715.]
81,53485.309195245485,[3480.63963429 6028.64468943],[-65.72729672 -57.08721237],[     0. -14715.]
82,54228.30780783699,[3367.57842996 5832.81693917],[-60.27452161 -51.80691529],[     0. -14715.]
83,54965.35042711107,[3259.05237155 5644.84429206],[-55.3025385  -47.03241831],[     0. -14715.]
84,55696.31492096766,[3154.87589332 5464.4053388 ],[-50.767954   -42.71462394],[     0. -14715.]
85,56421.08387530082,[3054.87050912 5291.19093234],[-46.63126319 -38.8091526 ],[     0. -14715.]
86,57139.544417487145,[2958.8646351  5124.90388072],[-42.85651788 -35.2759084 ],[     0. -14715.]
87,57851.58804498834,[2866.69340562 4965.25862825],[-39.41101966 -32.07868085],[     0. -14715.]
88,58557.11045912114,[2778.19848412 4811.98092801],[-36.26503645 -29.18478025],[     0. -14715.]
89,59256.01140401911,[2693.22787057 4664.80750819],[-33.39154144 -26.56470467],[     0. -14715.]
90,59948.194510786096,[2611.63570647 4523.48573447],[-30.76597296 -24.19183609],[     0. -14715.]
91,60633.56714681867,[2533.28207901 4387.77327075],[-28.36601415 -22.04216381],[     0. -14715.]
92,61312.04027025587,[2458.032825   4257.43773958],[-26.1713909  -20.09403284],[     0. -14715.]
93,61983.52828949756,[2385.75933576 4132.25638417],[-24.16368696 -18.32791543],[     0. -14715.]
94,62647.94892771842,[2316.33836357 4012.01573323],[-22.32617498 -16.72620381],[     0. -14715.]
95,63305.22309229222,[2249.65183042 3896.51126963],[-20.64366216 -15.27302236],[     0. -14715.]
96,63955.27474903087,[2185.58663962 3785.54710417],[-19.10234952 -13.95405762],[     0. -14715.]
97,64598.030801133886,[2124.03449072 3678.93565495],[-17.68970363 -12.75640442],[     0. -14715.]
98,65233.42097273725,[2064.89169817 3576.49733336],[-16.39433984 -11.66842692],[     0. -14715.]
99,65861.37769694491,[2008.0590141  3478.06023702],[-15.20591603 -10.67963306],[     0. -14715.]
100,66481.83600822189,[1953.44145532 3383.45985023],[-14.11503603  -9.78056117],[     0. -14715.]
101,67094.7334390249,[1900.94813501 3292.53875239],[-13.11316184  -8.96267781],[     0. -14715.]
102,67700.0099205443,[1850.49209899 3205.14633446],[-12.19253395  -8.21828554],[     0. -14715.]
103,68297.60768742964,[1801.99016694 3121.13852388],[-11.34609895  -7.54043984],[     0. -14715.]
